Semana,tos: (España),fiebre: (España),viajar: (España),confinamiento: (España)
2020-01-05,8,8,13,0
2020-01-12,8,9,13,<1
2020-01-19,7,10,14,<1
2020-01-26,8,11,14,0
2020-02-02,8,10,11,0
2020-02-09,7,10,11,<1
2020-02-16,7,8,11,<1
2020-02-23,7,11,15,<1
2020-03-01,8,11,15,<1
2020-03-08,15,28,21,12
2020-03-15,20,35,13,31
2020-03-22,13,22,8,44
2020-03-29,8,15,7,57
2020-04-05,6,10,9,63
2020-04-12,5,10,9,77
2020-04-19,4,8,10,68
2020-04-26,4,8,17,60
2020-05-03,3,8,24,43
2020-05-10,3,7,21,22
2020-05-17,2,7,24,17
2020-05-24,3,7,26,11
2020-05-31,2,6,27,7
2020-06-07,2,7,25,7
2020-06-14,2,6,29,7
2020-06-21,2,6,16,7
2020-06-28,2,6,16,8
2020-07-05,2,6,13,16
2020-07-12,2,6,13,21
2020-07-19,3,7,13,15
2020-07-26,2,9,17,13
2020-08-02,3,7,15,10
2020-08-09,3,13,16,17
2020-08-16,3,13,14,15
2020-08-23,3,13,13,11
2020-08-30,4,11,13,9
2020-09-06,4,10,12,9
2020-09-13,4,12,12,38
2020-09-20,4,10,11,33
2020-09-27,4,9,11,53
2020-10-04,4,9,12,39
2020-10-11,4,9,10,24
2020-10-18,5,10,10,50
2020-10-25,5,8,22,100
2020-11-01,5,8,10,95
2020-11-08,4,8,14,41
2020-11-15,4,7,14,31
2020-11-22,4,6,16,18
2020-11-29,3,6,17,17
2020-12-06,3,6,18,16
2020-12-13,3,6,22,18
2020-12-20,3,6,19,11
2020-12-27,3,7,15,15
2021-01-03,3,6,14,36
2021-01-10,4,8,13,47
2021-01-17,4,8,11,41
2021-01-24,4,9,12,36
2021-01-31,4,7,11,23
2021-02-07,3,7,14,23
2021-02-14,4,6,15,20
2021-02-21,4,6,16,12
2021-02-28,3,6,18,10
2021-03-07,4,6,18,10
2021-03-14,3,5,20,9
2021-03-21,4,6,21,7
2021-03-28,4,7,18,7
2021-04-04,4,6,17,13
2021-04-11,4,6,17,9
2021-04-18,4,6,17,7
2021-04-25,5,6,18,6
2021-05-02,4,7,19,8
2021-05-09,5,7,22,4
2021-05-16,5,6,25,3
2021-05-23,5,7,24,2
2021-05-30,4,7,27,2
2021-06-06,4,7,32,1
2021-06-13,4,8,32,1
