Date,Series,Value
2020-01-01,Volume Intensity,0
2020-01-02,Volume Intensity,0
2020-01-03,Volume Intensity,0
2020-01-04,Volume Intensity,0
2020-01-05,Volume Intensity,0
2020-01-06,Volume Intensity,0
2020-01-07,Volume Intensity,0
2020-01-08,Volume Intensity,0
2020-01-09,Volume Intensity,0
2020-01-10,Volume Intensity,0
2020-01-11,Volume Intensity,0
2020-01-12,Volume Intensity,0
2020-01-13,Volume Intensity,0
2020-01-14,Volume Intensity,0
2020-01-15,Volume Intensity,0
2020-01-16,Volume Intensity,0
2020-01-17,Volume Intensity,0
2020-01-18,Volume Intensity,0
2020-01-19,Volume Intensity,0
2020-01-20,Volume Intensity,0
2020-01-21,Volume Intensity,0
2020-01-22,Volume Intensity,0
2020-01-23,Volume Intensity,0
2020-01-24,Volume Intensity,0
2020-01-25,Volume Intensity,0
2020-01-26,Volume Intensity,0
2020-01-27,Volume Intensity,0
2020-01-28,Volume Intensity,0
2020-01-29,Volume Intensity,0
2020-01-30,Volume Intensity,0
2020-01-31,Volume Intensity,0
2020-02-01,Volume Intensity,0
2020-02-02,Volume Intensity,0
2020-02-03,Volume Intensity,0
2020-02-04,Volume Intensity,0
2020-02-05,Volume Intensity,0
2020-02-06,Volume Intensity,0
2020-02-07,Volume Intensity,0
2020-02-08,Volume Intensity,0
2020-02-09,Volume Intensity,0
2020-02-10,Volume Intensity,0
2020-02-11,Volume Intensity,0
2020-02-12,Volume Intensity,0.0016
2020-02-13,Volume Intensity,0.0034
2020-02-14,Volume Intensity,0.0006
2020-02-15,Volume Intensity,0.0007
2020-02-16,Volume Intensity,0.0008
2020-02-17,Volume Intensity,0.0014
2020-02-18,Volume Intensity,0.0019
2020-02-19,Volume Intensity,0.0002
2020-02-20,Volume Intensity,0.0008
2020-02-21,Volume Intensity,0.0036
2020-02-22,Volume Intensity,0.001
2020-02-23,Volume Intensity,0.0011
2020-02-24,Volume Intensity,0.0023
2020-02-25,Volume Intensity,0.0016
2020-02-26,Volume Intensity,0.0114
2020-02-27,Volume Intensity,0.004
2020-02-28,Volume Intensity,0.0084
2020-02-29,Volume Intensity,0.0044
2020-03-01,Volume Intensity,0.0033
2020-03-02,Volume Intensity,0.0183
2020-03-03,Volume Intensity,0.0164
2020-03-04,Volume Intensity,0.0117
2020-03-05,Volume Intensity,0.0132
2020-03-06,Volume Intensity,0.0153
