Combination,Columns,Feature,Coefficient,p-value
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10']",const,757.814745430323,1.7279553911183e-108
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10']",casos__ratio_population__num_casos__lag_10,735.9017145564677,4.786725470401971e-105
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5']",const,757.814745430323,1.8219345354775752e-64
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5']",googletrends__toque de queda__lag_5,510.4204984582583,3.1201403936714614e-36
"('googletrends', 'casos')","['const', 'googletrends__confinamiento__lag_10']",const,757.814745430323,1.2668855526755786e-54
"('googletrends', 'casos')","['const', 'googletrends__confinamiento__lag_10']",googletrends__confinamiento__lag_10,358.08564928836745,7.971338703609433e-17
"('googletrends', 'casos')","['const', 'googletrends__fiebre__lag_15']",const,757.814745430323,1.0118656548934066e-47
"('googletrends', 'casos')","['const', 'googletrends__fiebre__lag_15']",googletrends__fiebre__lag_15,-16.037746200699285,0.7215663269696488
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10']",const,757.814745430323,1.7279553911183e-108
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10']",casos__ratio_population__num_casos__lag_10,735.9017145564677,4.786725470401971e-105
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5']",const,757.814745430323,1.8219345354775752e-64
"('googletrends', 'casos')","['const', 'googletrends__toque de queda__lag_5']",googletrends__toque de queda__lag_5,510.4204984582583,3.1201403936714614e-36
"('googletrends', 'casos')","['const', 'googletrends__confinamiento__lag_10']",const,757.814745430323,1.2668855526755786e-54
"('googletrends', 'casos')","['const', 'googletrends__confinamiento__lag_10']",googletrends__confinamiento__lag_10,358.08564928836745,7.971338703609433e-17
"('googletrends', 'casos')","['const', 'googletrends__fiebre__lag_15']",const,757.814745430323,1.0118656548934066e-47
"('googletrends', 'casos')","['const', 'googletrends__fiebre__lag_15']",googletrends__fiebre__lag_15,-16.037746200699285,0.7215663269696488
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos__lag_10', 'googletrends__toque de queda__lag_5']",const,757.814745430323,9.47265736509591e-119
