Combination,Columns,Feature,Coefficient,p-value
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21']",const,18.42226656026406,1.9763822139157497e-52
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21']",casos__ratio_population__num_casos_prueba_test_ac__lag_21,8.906979326078146,1.151954685607407e-16
"('googletrends', 'casos')","['const', 'googletrends__confinamiento__lag_30']",const,18.42226656026406,8.102547623811468e-71
"('googletrends', 'casos')","['const', 'googletrends__confinamiento__lag_30']",googletrends__confinamiento__lag_30,14.744171214844076,3.86179904331809e-52
"('googletrends', 'casos')","['const', 'googletrends__entubado__lag_20']",const,18.42226656026406,7.971340847501712e-55
"('googletrends', 'casos')","['const', 'googletrends__entubado__lag_20']",googletrends__entubado__lag_20,10.147169093387895,9.200970479395972e-22
"('googletrends', 'casos')","['const', 'googletrends__tanatorio__lag_10']",const,18.42226656026406,3.7346579770290765e-46
"('googletrends', 'casos')","['const', 'googletrends__tanatorio__lag_10']",googletrends__tanatorio__lag_10,2.2135382971495914,0.04849809855367388
"('googletrends', 'casos')","['const', 'googletrends__coronavirus__lag_30']",const,18.42226656026406,1.0572092888253002e-57
"('googletrends', 'casos')","['const', 'googletrends__coronavirus__lag_30']",googletrends__coronavirus__lag_30,11.340149255433957,1.1596201737803255e-27
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14']",const,18.42226656026406,4.146297808407298e-59
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14']",casos__ratio_population__num_casos_prueba_test_ac__lag_14,11.838876153300555,1.8238558569814012e-30
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14']",const,18.42226656026406,8.489311775106276e-69
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14']",casos__ratio_population__num_casos_prueba_pcr__lag_14,14.355715376256214,1.3844565628840687e-48
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__confinamiento__lag_30']",const,18.42226656026406,9.939504941561726e-71
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__confinamiento__lag_30']",casos__ratio_population__num_casos_prueba_test_ac__lag_21,-0.9481201667818213,0.3778856984579859
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__confinamiento__lag_30']",googletrends__confinamiento__lag_30,15.35277885913778,3.205131516530777e-37
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__entubado__lag_20']",const,18.42226656026406,1.2284125894009204e-59
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__entubado__lag_20']",casos__ratio_population__num_casos_prueba_test_ac__lag_21,6.75255088814919,1.3386515926004499e-11
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__entubado__lag_20']",googletrends__entubado__lag_20,8.419234332678819,1.0434856135271891e-16
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10']",const,18.42226656026406,1.4689954624990399e-58
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10']",casos__ratio_population__num_casos_prueba_test_ac__lag_21,13.208874401366057,9.335224317692382e-29
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10']",googletrends__tanatorio__lag_10,8.725701467841722,1.4453719231584877e-14
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__coronavirus__lag_30']",const,18.42226656026406,6.868373926932988e-58
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__coronavirus__lag_30']",casos__ratio_population__num_casos_prueba_test_ac__lag_21,2.2872190199235853,0.07833150366938132
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__coronavirus__lag_30']",googletrends__coronavirus__lag_30,9.794259953852071,3.2197200274426057e-13
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21']",const,18.42226656026406,5.446781934570341e-63
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21']",casos__ratio_population__num_casos_prueba_test_ac__lag_14,25.391171780160413,3.5063010815294116e-23
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21']",casos__ratio_population__num_casos_prueba_test_ac__lag_21,-14.623780489053225,2.4172857761079017e-09
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21']",const,18.42226656026406,3.2544763042389285e-99
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21']",casos__ratio_population__num_casos_prueba_pcr__lag_14,15.794622719224552,8.686172100399017e-82
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21']",casos__ratio_population__num_casos_prueba_test_ac__lag_21,10.977335828369949,4.3859459908161535e-50
"('googletrends', 'casos')","['const', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30']",const,18.42226656026406,1.716413973366645e-81
"('googletrends', 'casos')","['const', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30']",googletrends__entubado__lag_20,7.282479076335805,8.679461947937154e-20
