Combination,Columns,Combination length,Number of features,R2 train,R2 test
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,8,0.9026889871415977,0.884951774942802
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__coronavirus__lag_30']",2,7,0.9015390895693669,0.8844413369110664
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__entubado__lag_20', 'googletrends__coronavirus__lag_30']",2,6,0.8876790826271607,0.8837300562384067
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,7,0.8874086519678781,0.8834134386654326
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__coronavirus__lag_30']",2,6,0.8990550789967191,0.8742350633847493
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__coronavirus__lag_30']",2,6,0.8897698692457875,0.8737806624794966
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__tanatorio__lag_10', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,7,0.8903637413561911,0.8734640385592235
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'googletrends__tanatorio__lag_10', 'googletrends__entubado__lag_20', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,7,0.8992029114434534,0.8730039111916861
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__coronavirus__lag_30']",2,5,0.8702351113169294,0.8728166738816961
"('googletrends', 'casos')","['const', 'casos__ratio_population__num_casos_prueba_pcr__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_14', 'casos__ratio_population__num_casos_prueba_test_ac__lag_21', 'googletrends__confinamiento__lag_30', 'googletrends__coronavirus__lag_30']",2,6,0.8704194191594378,0.8720108492239372
